Ref. No,Product Details,Tender Location,Industry,Closing Date,Opening Date,Tender Value,Tender Fees
43722610,Supply of food materials to molakalmuru taluk dist,Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,31/05/2021 at 00:00 Hrs.,3/06/2021 at 00:00 Hrs.,,550
43663690,"supply of Veg fruit, hay baled and perishable items contract and any other miscellaneous items",Multi State - India,Security Services - Non-financial Services,29/11/2021 at 00:00 Hrs.,29/11/2021 at 00:00 Hrs.,,
43592315,Supply of nutritious food items to tribal people in mysore district.,Karnataka - India,Other Services - Financial Services,4/06/2021 at 00:00 Hrs.,5/06/2021 at 00:00 Hrs.,,550
43566640,Supply of food items and other items.,Karnataka - India,Municipal Corporations - Non-financial Services,31/05/2021 at 00:00 Hrs.,2/06/2021 at 00:00 Hrs.,,
41650231,"Supply of wheat, atta whole meal, mg asc, wheat atta, whole meal, dalia, suji, flour and wheat bran.",Rajasthan - India,Security Services - Non-financial Services,14/06/2021 at 00:00 Hrs.,14/06/2021 at 00:00 Hrs.,,
43547882,Supply of food items to minority welfare department district,Karnataka - India,Recreational Services        - Non-financial Services,31/05/2021 at 00:00 Hrs.,2/06/2021 at 00:00 Hrs.,,550
43817181,"Jhund - samakhiyali section - supply of potable drinking water by road tanker at station hirapur, dhrangadhra, ghanshyamgadh, chuli, sukhpur, gang no-10, jurisdiction of assistant divisional engineer - dhrangadhra(for two years)",Gujarat - India,Railways Transport Services - Transport Services         ,1/06/2021 at 00:00 Hrs.,1/06/2021 at 15:00 Hrs.,23692246,10000
43735835,"Supply of nutrition food items to st jenukuruba, yerava, soliga, kudiya and kadukuruba families",Karnataka - India,Other Services - Financial Services,15/06/2021 at 00:00 Hrs.,17/06/2021 at 00:00 Hrs.,,550
43817180,"Jhund - hirapur section - supply of potable drinking water by road tanker at station sadla, bajana, jat pipli, vasadva, dhrumath, gang no 07, jurisdiction of assistant divisional engineer - vramgam (for two year)",Gujarat - India,Railways Transport Services - Transport Services         ,1/06/2021 at 00:00 Hrs.,1/06/2021 at 15:00 Hrs.,3689560,3000
43446476,Supply of Food item,Uttar Pradesh - India,Education And Research Institute - Non-financial Services,30/06/2021 at 00:00 Hrs.,30/06/2021 at 14:00 Hrs.,,1180
43527726,"Supply of fresh articles at various stations of western command as shown for the PD from 01 oct 2021 to 30 sep 2022 by the process - Vegetable, Fruit, Bread, Ice, Milk, Milk Product.",Multi State - India,Security Services - Non-financial Services,11/11/2021 at 00:00 Hrs.,11/11/2021 at 00:00 Hrs.,,
43408695,Supply of food items to bcw hostels in shirhatti taluk,Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,20/05/2021 at 00:00 Hrs.,24/05/2021 at 00:00 Hrs.,,550
43408691,Supply of food items to bcw hostels in taluk,Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,20/05/2021 at 00:00 Hrs.,24/05/2021 at 00:00 Hrs.,,550
43408511,Supply of food items to bcw hostels in mundargi taluk,Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,20/05/2021 at 00:00 Hrs.,24/05/2021 at 00:00 Hrs.,,550
43783380,Supply of diet items and bread to general hospital sorab for the year 2021-22,Karnataka - India,Health Services/Equipments - Non-financial Services,21/05/2021 at 00:00 Hrs.,24/05/2021 at 00:00 Hrs.,,550
43830723,"Supply of food, vegetable and other necessary materials for prisoners in sub jail. ",Chhattisgarh - India,Security Services - Non-financial Services,22/05/2021 at 00:00 Hrs.,22/05/2021 at 00:00 Hrs.,,1000
43813016,"Auction sale of scrap e-waste, scrap air conditioners, scrap compresser for air conditioners, scrap water cooler/water dispenser, scrap geyser/water heater, scrap tubelight flourescent 40w, (printer cartridge-112 no, scrap projector-01 no, scrap photocopier-03 no, scrap telephone instrument/receiver -01 no, scrap lead-50 kg, digitel camera-04 no, scrap server-27 no, scrap key board-260 no, blade centre-02 no, token display system set-04 no, attendance machine-07 no, set top box-03 no, telephone-12 no, epbx-02 no, scrap vaccum-01 no, micorowave-02 no, scrap television-6 no, scrap cpu-132 no, scrap monitor-77 no, scrap tft monitor-03 no, scrap laptop-44 no, scrap printer-29 no.",Delhi - India,Other Metal Products - Iron and Steel,8/05/2021 at 00:00 Hrs.,8/05/2021 at 00:00 Hrs.,,
43800255,Supply of food to patients and his/her attendant (1),Uttar Pradesh - India,Education And Research Institute - Non-financial Services,8/05/2021 at 00:00 Hrs.,10/05/2021 at 14:00 Hrs.,,8900
43835853,Supply of packaged drinking water service,Multi State - India,Administrative Offices - Financial Services,7/05/2021 at 00:00 Hrs.,7/05/2021 at 16:00 Hrs.,,
43808075,Supply of aerated water.,Madhya Pradesh - India,Security Services - Non-financial Services,7/05/2021 at 00:00 Hrs.,7/05/2021 at 00:05 Hrs.,,
43727614,Sale of any typ cooler and water cooler scrap (coolers parts and some parts missing with other all tin 1.8 mt at area store,Madhya Pradesh - India,Power Plant - Power Plant,5/05/2021 at 00:00 Hrs.,5/05/2021 at 00:00 Hrs.,,
43709653,"Sale of water purifier, cooler, photo copy machine, duplo/ duplicator, PA system, speakers, musical item. ",Uttaranchal - India,Education And Research Institute - Non-financial Services,5/05/2021 at 00:00 Hrs.,5/05/2021 at 00:00 Hrs.,,
43812700,Auction sale of pvc water tank.,West Bengal - India,Other Metal Products - Iron and Steel,5/05/2021 at 00:00 Hrs.,5/05/2021 at 00:00 Hrs.,,
43778682,"Supply and delivery of water bubbles with matkas and engaging of one no of four wheeler van/goods vehicle for transportation of water bubbles from r.o.plant to gvmc schools, dispensaries and ward sachivalayams for mineral water arrangements in ae.28 section ,zone-ii during the year 2021-2022",Andhra Pradesh - India,Municipal Corporations - Non-financial Services,4/05/2021 at 00:00 Hrs.,4/05/2021 at 16:00 Hrs.,704751,250
43776772,"Supply of feeding articles for capitve zoo animals – godown articles(dry ration), green vegetable(beetroot, radish, tomato, peas, bottle, pumpkin, cucumber, carrot), turnip, fengugreek, spinach, mixed fruit, banana, chicken, goat meat, fish, egg, green tree leaves, dry grass.",Himachal Pradesh - India,Forest Departments - Food Products,4/05/2021 at 00:00 Hrs.,4/05/2021 at 00:00 Hrs.,,500
43570660,Supply of cooked food and bread to govt. general hospital hospet,Karnataka - India,Health Services/Equipments - Non-financial Services,3/05/2021 at 00:00 Hrs.,4/05/2021 at 00:00 Hrs.,,550
42653351,"Expression of interest for empanelment of vendors for india government mint, hyderabad - 2, die steel rods (din1.2550), steel (en series, mild steel, tool steel), austenitic ss 310, copper sheet, brass sheet etc., all non – ferrous alloys, sand, cement, bricks, stone chips etc., paint, putty etc, tar, tarpaulin, asbestos / g.i. sheet etc, scaffolding material, laddles etc, plumbing raw materials., computers, peripherals, printers, software, hardware, networking., ht & lt sub station equipments, electrical spares, material handling equipments,, measuring & testing equipments, balances & weighing scales,, comparators etc., pump sets, fire fighting equipments, telecom equipments, a.c spares, pallet truck, fork lift truck, stacker spare parts, manpower hiring on outsourcing basis, skilled, unskilled,, transport services, hiring of vehicles viz cars, forklifts, pallette trucks, stackers etc., house keeping, horticulture, sanitation, packaged drinking water, catering services., auditing/ consulting services., rodent / pest control., advertising, transit insurance , vehicle insurance, repairing / supply of spare parts, electric motor rewinding, computers, computer peripherals, printers, xerox machines, software,, hardware,, air conditioners, ac plant, water coolers, air compressor system, dg sets 500 kva, fork lift trucks, pallet trucks, stackers, voltage stabilisers 125kva-400kva, air ventilation system, fire fighting equipments, safety & security items, rolling shutters, photo copiers, epabx system, biometric control system., metal detectors, hand held & door frame, cctv, siemen - ac, dc drives, plcs, pcbs, machinery and mechanical items, civil work in factory & townships, all electrical & electronics work in factory & townships, ms drums, containers, ms / wooden pallets, machine parts, collars (tc& d2), dial indexing plates, industrial items, plastic moulded jobs, cast iron box & trays, consultancy, heavy labour jobs, erection & commissioning., fabrication, welding, brazing, grinding etc, automation engineering, heat treatment, job testing, analysis, civil maintenance, painting & plumbing, radiator cleaning, testing & certification of cranes, lifting tackles, pr. vessels etc., testing & calibration of measuring instruments, packaging of medals and commemorative coins, manufacturing of medal blanks, structural audit / survey, civil/labour contractor, re-filling of cartridges., ldpe film rolls / bags, thermal transfer ribbons, thermal transfer printer label rolls, printing ink, polycarbonate / acrylic sheets, moulded / acrylic inserts., lubricant oils, cutting/coolant oil, quenching oil, hydraulic oil., all industrial oils, grease, charcoal, hosiery cleaning cloth & rags., cotton waste cleaning cloth., cotton hand gloves, machine cleaning material, pickling & polishing compound, c dies and punches for blanking tool, corn cob, all chemicals (production and laboratory), satellite balls, cotton waste fine, crucibles for melting, bearings of all types., belts of all types, nuts, bolts, screws, springs, pins (straight & taper), washers etc, rubber rolls, gears, shafts, pulleys and other spare parts of various machinery., loctite, grease sevogem, cutting tools, drills, milling cutters, tool tips, cnc working tools ,, taps & dies etc., hacksaw blades of all sizes, knifes, grinding wheels/mounted wheels, tips/ dressers, hand grinding wheels, cutters etc., all files, emery paper and emery cloth, oil stone etc., polishing mobs, diamond lapping compound, glass balls, hammer balls, pressure gauges & regulators, gaskets, valves etc., filters – air & oil, ms wire, hardware, paints, plumbing, carpentry items, plastic bins, grease gun and oil gun, pneumatic system components, lubrication system components, hydraulic system components, all types of wood, ply wood, sal wood, polish & resins, industrial adhesives, all nails, lightings, switches, fans, coolers, room heaters, geyser, air, conditioners, water coolers,, industrial fans, exhaust fans, control panel items-relays, contactors, timers, plc modules, micro, switches, semiconductors, fuses, connectors etc., heating elements, nichrome – for furnace, plastic sealing, electrical motors, printed electronic cards & modules,, all electronic items (solenoid coils/valves, optical sensors etc.), cables – electrical, telephone, fiber optic, power backup systems, motor winding materials, transformers, ac & refrigeration, dg & compressor, electrical appliances, coffee & tea premix & vending machines, telecom equipments, computer, printer and peripherals, - computer software, mechanical maintenance tools, electrical & electronic measuring & maintenance tools, hand tools, drilling machines, blower, grinder etc, plumbing tools, carpentry tools, civil tools, horticulture tools, painting tools, welding tools, a4 / a3 size xerox machine paper, computer stationary (continuous with perforation on both sides), registers, writing pads, diaries, calendars, pens, pencils etc, box files, office files ",Telangana - India,Printing - Wood Paper and Paper Products,1/05/2021 at 00:00 Hrs.,1/05/2021 at 11:00 Hrs.,,500
43792415,Contract for arrangement of ration kit & food packet for covid-19 effected persons.,Uttar Pradesh - India,Other Services - Financial Services,1/05/2021 at 00:00 Hrs.,1/05/2021 at 16:00 Hrs.,,590
43676604,Transportation and handling work on food supply center. ,Uttar Pradesh - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,30/04/2021 at 00:00 Hrs.,30/04/2021 at 00:00 Hrs.,,
43798396,"Supply of upama / bara / idly with curry, rice + dalma + sabji + pickle or chatni, tea + samosa + aluchap or biscuit pocket, baby food, milk, water bottle, metal bed, mat, pillow, bedsheet, bucket, mug, bath soap, hair oil, shampoo, surf, tooth paste, tooth brush, tongue cleaner, mosquito repellant coil 1 packet, hand wash, sanitizer, sanitary pad, match box, face mask, hand gloves, razor, dettol, candel, pasupari feed",Orissa (Odisha) - India,Municipal Corporations - Non-financial Services,30/04/2021 at 00:00 Hrs.,,,
43547802,"Supply to food items, gas cylender, rice coarse, ragi cleaned, wheat cleaned, tur dal, moong dal, channa dal, uradhal, putani, green gram, bengal gram, avarekalu, avrebele, bengal gram, halasandi kalu, horse gram, green peas, idly rava (fine), bansi rava (fine), avalakki thick, gramflour, avalakki medium, sugar (m.p.m), jaggery ( ball), groundnuts 1st quality, kadalehettu, dry chilli, red chilli powder, tamarind, dry coconut, vermicelli, sunflower refined oil, coffee powder, tea powder, crystal salt, table salt, jamoon mix, pickle, puliogre mix, biscuit 200gm pack, rusk, boost/horlicks, milling charges, milling charges, kadlepuri, mandakki, cashews 1st quality, dry grapes 1st quality, cinnamon, clove, methi, coriander seed, kush kush, elachi, pepper, mustard seed, jeera, turmeric powder, turmeric stick, chakra maggu, backing powder, beans, carrot, potato, tomato, cabbage, radish, drumstick, beetroot, bottle gourd, chilli big, lemon, kohlrabi, snake gourd, broadbeanc, brinzal, turai, ladies finger, cucumber, suvarna gadde, tondekai, onion, garlic, cocunut, egg, milk, green chili, banana, mixed leaves, chicken, coriander leaves,  curry leaves, mint leaves, ginger, bread in srinivasapura taluk district",Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,29/04/2021 at 00:00 Hrs.,30/04/2021 at 00:00 Hrs.,,550
43718248,Supply of ice at ajmer.,Rajasthan - India,Security Services - Non-financial Services,29/04/2021 at 00:00 Hrs.,29/04/2021 at 00:05 Hrs.,,
43792342,"sale of scrap refrigerators water cooler,scrap gi fitting,scrap conveyor belts,scrap filter bags used torn,empty plastic tank1000 ltr cap scrap,scrap empty plastic drum200 ltr cap,used obsolete electrical panel,miscellanenous lot used obsolete materials.",West Bengal - India,Non Classified - Non Classified,29/04/2021 at 00:00 Hrs.,30/04/2021 at 00:00 Hrs.,,
43518364,Supply of food and food material Bcwd ramanagara food tender.,Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,28/04/2021 at 00:00 Hrs.,3/05/2021 at 00:00 Hrs.,,550
43791203,"Supply of lunch packet( dal arhar, vegetable, rice, chapati, bundi rayta, pickles, napkin, spoon, laddu). ",Uttar Pradesh - India,Security Services - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,2000
43826107,"Auction sale of bty 12v 180 ah, 1bty 12v 75 ah steel body, 2bty 12v 88 ah,  3fire ext co2 2 ltr etc, 4tarpauline rags, 5cover outer 1500x21 etc,  6cover outer 1000x20,  7eng assy als, etc,  8jwd cable,  9computer scrap,  10sig wireless scrap,  11ms scrap,  12mt scrap, 13gear box assy o/s,  14blanket old,  15ms scrap,  16bty 12v 75 ah steel body,  17gen set 30 kva t/mtd,  18gen set 11 kva t/mtd,  19gen set 11.5 kva un/mtd, 20gen set 5.6 kva mtd etc,  21chg set 500w,  22plant lubricating etc,  23washing motor gun veh etc,  24alluminium scrap,  25boot ankle/dms, 26bucket water steel etc,  27canvas old,  28cotton rag,  29textile scrap,  30tool scrap, 31wheel disc large etc,  32alternator assy etc,  33computer scrap, 34tarpauline rags, 35axes pick head o/s etc, 36magzine insas etc,  37bty 12v 75 ah steel body,  38bty 12v 75 ah plastic body etc, 39mt scrap,",Punjab - India,Other Metal Products - Iron and Steel,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,
43826078,"Auction sale of computer scrap, 1jerrican empty 20 ltrs etc, 2boot dms, 3boot dms, 4axes pick head o/s etc, 5tarpauline rags, 6bucket water steel etc, 7wooden scrap, 8machinery o/s, 9machinery o/s, 10machinery o/s, 11boot dms, 12boot dms, 13rubber scrap, 14mt scrap, 15axes pick head etc, 16jack lifting o/s etc, 17jerrican empty 20 ltrs etc, 18charging set 500 watt, 19tarpauline rags, 20textile scrap, 21rubber scrap, cover outer 445/65r 22.5, 22axes pick head etc, 23gear box assy o/s, 24cover outer 1500x21 etc, 25bty bsp 75 ah steel/body, 26helment combat fibre etc, 27armature assy o/s, etc, 28armature assy o/s, etc, 29boot ankle/dms, 30boot ankle/dms, 31sewing machine o/s, 32tarpaulin rags, 33bty dry o/s, 34textile scrap, 35axes pick head o/s etc, 36tarpauline rags, 37alternator assy o/s etc, 38bty dry o/s, 39bty dry o/s scrap.",Punjab - India,Other Metal Products - Iron and Steel,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,
43814926,"Local purchase of carbonated soft drinks,lime based soft drinks , fruit juice",Haryana - India,Security Services - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,150000,
43810315,"Supply of the drinking water for the employees working at latur (north& south ) sub- divisions, rural s/dn,unit no.1,2,3,4,5,6,7,8,9,10,meter testing unit ,filter unit, mejor store division office.",Maharashtra - India,Power Plant - Power Plant,28/04/2021 at 00:00 Hrs.,28/04/2021 at 17:30 Hrs.,300000,1000
43801153,Auction of land and water for the year 2021-22. ,Haryana - India,Municipal Corporations - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,
43786754,"Supply of lunch packet (dal arhar, vegetables, rice 100 gram cooked, 04 chappati, bundi rayta, pickle, napkin, spoon, 01 laddoo). ",Uttar Pradesh - India,Security Services - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,200
43767263,"Supply of food products, Edible oil",Rajasthan - India,Security Services - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 11:00 Hrs.,,
43767262,"Supply of food products, edible oil",Jammu-kashmir - India,Security Services - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 10:30 Hrs.,,
43737307,To supply the bhajipala and mutton to govt. aasharam school ilada under itdp deori,Maharashtra - India,Other Services - Financial Services,28/04/2021 at 00:00 Hrs.,29/04/2021 at 17:00 Hrs.,,2800
43709873,Transportation of water by tankers in urban and rural area under phed division.,Rajasthan - India,Health Services/Equipments - Non-financial Services,28/04/2021 at 00:00 Hrs.,29/04/2021 at 11:00 Hrs.,1500000,1000
43709019,"Auction sale of cond rubber dust, cond iron scrap, cond g i sheet scrap, cond radiator etc, cond water cooler etc, cond television etc.",Uttar Pradesh - India,Other Metal Products - Iron and Steel,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,
43688268,"Supply of religious pooja materials, turmeric, pinjar, chandne khod, red sandalwood, saffron, camphor wadi mothi, masala agarbatti, dhop sada khada, panchkhadya, sukh coconut vati, round (jaggery), arecanut moti, perfume small bottle, niranjan vati / flower, auspicious fuel (wood) ), coal (coal), samidha (audumbar), navagraha dhanya, bhatya lahya, white oil (white sesame), wheat (wheat), google incense, yellow mustard, saubhagya van set, khadisakhar, gulal, rangoli, bali pardi, soup , java, sachchu peeth, shenya, black oil, kharik, almond, acrode (mix), black urad, janhvi jod, dhotar, uparne, blouse piece, panchke, sohale, saree, abir, rangoli rang (7 different colors), sugarcane karve, agarbatti g0 gm each (mysore musk / saffron sandalwood / lavender / balchandanam / nikadmaru), shendur, coconut (coconut-10 bharti madras), kapoor bhimsen, cotton thread bundle (red / white), saptamurtik sanstha, silver drone (honey) dabur, five large fruits (apple / pear / pomegranate / chiku / peru), banana common, banana cardamom, lemon, l.b. , cotton wool, cow urine (100 ml bottle), pohe.",Maharashtra - India,Other Services - Financial Services,28/04/2021 at 00:00 Hrs.,30/04/2021 at 13:00 Hrs.,,500
43684892,Sale of coconut water and watermelon. ,Haryana - India,Municipal Corporations - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,
43681146,Sale of coconut water and water melon.,Punjab - India,Municipal Corporations - Non-financial Services,28/04/2021 at 00:00 Hrs.,28/04/2021 at 00:00 Hrs.,,
43623929,Diet food items supply.,Karnataka - India,Insurance Services           - Financial Services         ,28/04/2021 at 00:00 Hrs.,30/04/2021 at 00:00 Hrs.,,
43621152,Purchase of food items under icds in jind district,Haryana - India,Health Services/Equipments - Non-financial Services,28/04/2021 at 00:00 Hrs.,29/04/2021 at 11:00 Hrs.,21523660,5000
43620704,service to provide canteen services and ready meals in boys and girls dry hostels located in valsad district.,Gujarat - India,Other Services - Financial Services,28/04/2021 at 00:00 Hrs.,30/04/2021 at 00:00 Hrs.,20400000,15000
